filename,width,height,class,xmin,ymin,xmax,ymax
sailing_00815.jpg,1300,1064,sailing,86,35,1068,907
merchant_00953.jpg,1300,956,merchant,58,291,1253,614
passenger_00153.jpg,500,333,passenger,87,74,412,310
warship_00714.jpg,900,600,warship,369,26,736,571
warship_00714.jpg,900,600,warship,135,175,228,331
warship_00045.jpg,1000,750,warship,121,166,896,574
warship_00762.jpg,623,393,warship,180,108,619,322
warship_00762.jpg,623,393,warship,420,88,490,122
warship_00762.jpg,623,393,warship,39,97,123,134
passenger_00511.jpg,1300,939,passenger,383,401,1016,642
merchant_00112.jpg,724,484,merchant,133,123,652,382
warship_00135.jpg,1242,931,warship,82,247,1154,689
passenger_00852.jpg,2000,1125,passenger,242,212,1888,845
warship_00731.jpg,600,404,warship,38,103,576,273
sailing_00627.jpg,1017,1024,sailing,470,312,539,551
passenger_00291.jpg,450,318,passenger,117,49,398,187
sailing_00844.jpg,500,333,sailing,116,22,446,312
fishing_00015.jpg,400,300,fishing,39,1,364,300
sailing_00656.jpg,800,533,sailing,217,1,622,424
warship_00422.jpg,696,464,warship,24,115,672,324
merchant_00857.jpg,1280,720,merchant,90,82,1217,606
fishing_00446.jpg,600,527,fishing,88,76,510,443
small_00002.jpg,500,329,small,49,99,491,218
merchant_00304.jpg,724,482,merchant,162,187,686,291
warship_00208.jpg,899,618,warship,90,238,714,443
tug_00034.jpg,1024,583,tug,86,101,992,563
sailing_00348.jpg,800,449,sailing,287,1,559,409
sailing_00794.jpg,585,340,sailing,221,14,407,264
warship_00772.jpg,900,600,warship,48,210,900,464
fishing_00997.jpg,887,668,fishing,118,1,780,624
tug_00505.jpg,640,480,tug,53,47,558,388
merchant_00394.jpg,800,535,merchant,34,186,753,315
sailing_00455.jpg,700,476,sailing,96,1,473,421
small_00345.jpg,350,205,small,51,12,311,185
tug_00918.jpg,1300,957,tug,163,41,1145,770
warship_00901.jpg,800,550,warship,229,114,798,335
merchant_00607.jpg,960,720,merchant,480,319,851,399
tug_00502.jpg,500,500,tug,305,184,407,308
tug_00502.jpg,500,500,tug,79,212,134,298
warship_00798.jpg,705,447,warship,76,60,624,254
warship_00023.jpg,900,600,warship,34,176,847,427
sailing_00138.jpg,960,500,sailing,157,1,763,482
fishing_00666.jpg,1300,916,fishing,268,222,810,583
merchant_00137.jpg,800,600,merchant,96,95,751,366
warship_00653.jpg,980,551,warship,111,52,922,538
merchant_00151.jpg,480,331,merchant,90,47,403,280
warship_00228.jpg,996,500,warship,1,54,939,479
warship_00228.jpg,996,500,warship,314,117,992,349
tug_00381.jpg,510,339,tug,164,143,352,272
tug_00381.jpg,510,339,tug,330,156,425,230
small_00595.jpg,1024,724,small,198,256,886,653
tug_00367.jpg,508,338,tug,52,250,161,306
passenger_00174.jpg,846,536,passenger,71,101,791,408
small_00931.jpg,600,400,small,6,144,539,330
tug_00511.jpg,736,414,tug,217,35,510,353
passenger_00496.jpg,1024,768,passenger,1,9,963,651
small_00303.jpg,980,652,small,30,164,953,524
small_00902.jpg,550,309,small,211,193,494,277
tug_00861.jpg,1000,595,tug,172,59,876,530
warship_00526.jpg,800,600,warship,125,153,668,399
small_00227.jpg,800,533,small,33,26,671,448
small_00921.jpg,969,646,small,156,289,826,528
tug_00471.jpg,920,400,tug,107,1,783,357
sailing_00641.jpg,625,900,sailing,113,253,395,632
tug_00125.jpg,448,318,tug,32,11,426,298
passenger_00363.jpg,920,360,passenger,283,132,644,269
sailing_00288.jpg,450,300,sailing,252,25,413,264
tug_00875.jpg,600,383,tug,49,18,569,308
sailing_00564.jpg,1600,1446,sailing,992,78,1450,1323
tug_00522.jpg,800,482,tug,8,31,778,424
small_00856.jpg,1600,900,small,417,294,1266,790
merchant_00974.jpg,612,435,merchant,5,36,607,357
warship_00642.jpg,640,480,warship,75,139,532,267
warship_00642.jpg,640,480,warship,51,201,613,315
sailing_00485.jpg,450,319,sailing,75,11,184,180
tug_00915.jpg,1024,538,tug,96,1,969,460
warship_00368.jpg,509,340,warship,67,35,509,269
tug_00492.jpg,640,425,tug,107,18,590,383
sailing_00981.jpg,1024,693,sailing,322,77,538,459
sailing_00111.jpg,300,400,sailing,42,11,262,274
passenger_00043.jpg,1000,666,passenger,174,155,641,418
merchant_00111.jpg,700,525,merchant,19,201,656,306
small_00062.jpg,504,336,small,49,47,449,270
fishing_00226.jpg,1024,733,fishing,83,257,959,554
warship_00947.jpg,1300,956,warship,263,333,1218,712
warship_00876.jpg,660,438,warship,529,117,634,267
warship_00876.jpg,660,438,warship,401,143,464,248
warship_00876.jpg,660,438,warship,210,145,294,250
warship_00876.jpg,660,438,warship,28,143,83,249
passenger_00253.jpg,717,480,passenger,121,70,661,365
tug_00228.jpg,800,450,tug,168,29,698,370
passenger_00462.jpg,1024,768,passenger,41,271,901,472
small_00816.jpg,674,446,small,92,214,572,347
fishing_00791.jpg,988,751,fishing,132,164,787,595
tug_00312.jpg,1300,865,tug,249,441,394,634
sailing_00206.jpg,1010,502,sailing,140,20,832,476
merchant_00983.jpg,960,639,merchant,62,82,892,437
tug_00276.jpg,1300,866,tug,215,65,939,704
tug_00434.jpg,1300,767,tug,157,24,1191,705
passenger_00007.jpg,905,1280,passenger,174,443,735,813
tug_00793.jpg,555,416,tug,70,107,429,263
sailing_00391.jpg,318,417,sailing,11,31,257,372
tug_00525.jpg,1300,957,tug,31,78,1247,704
tug_00091.jpg,498,334,tug,1,1,460,301
merchant_00476.jpg,480,321,merchant,45,58,424,247
sailing_00184.jpg,2048,1365,sailing,634,419,941,870
passenger_00577.jpg,1000,646,passenger,39,225,887,472
passenger_00125.jpg,536,414,passenger,40,53,451,377
warship_00073.jpg,1000,541,warship,78,164,869,383
sailing_00446.jpg,600,606,sailing,63,53,512,547
passenger_00677.jpg,490,272,passenger,57,13,422,211
small_00506.jpg,880,495,small,48,55,773,359
merchant_00657.jpg,1300,956,merchant,66,316,1250,547
warship_00884.jpg,612,399,warship,26,27,591,256
merchant_00645.jpg,1300,964,merchant,362,103,1260,573
passenger_00222.jpg,1024,576,passenger,65,144,935,379
passenger_00318.jpg,500,281,passenger,36,85,434,190
merchant_00083.jpg,800,540,merchant,171,163,654,408
warship_00706.jpg,600,400,warship,70,42,528,337
warship_00464.jpg,600,400,warship,1,60,561,304
sailing_00454.jpg,599,960,sailing,143,185,556,841
sailing_00454.jpg,599,960,sailing,537,293,582,392
warship_00985.jpg,2000,928,warship,145,136,1822,721
fishing_00836.jpg,658,356,fishing,51,36,566,317
small_00384.jpg,600,337,small,37,62,522,247
sailing_00622.jpg,1280,720,sailing,434,54,896,559
tug_00911.jpg,1500,943,tug,124,21,1270,745
tug_00933.jpg,612,399,tug,225,123,572,297
merchant_00764.jpg,1280,866,merchant,92,286,1108,710
tug_00286.jpg,342,342,tug,1,1,342,309
warship_00862.jpg,615,409,warship,43,39,585,309
sailing_00906.jpg,377,408,sailing,51,48,312,355
warship_00905.jpg,1280,720,warship,10,207,1272,517
small_00157.jpg,480,347,small,12,128,461,286
sailing_00833.jpg,400,400,sailing,101,1,283,399
merchant_00882.jpg,850,635,merchant,18,175,818,435
warship_00725.jpg,800,954,warship,145,77,656,812
merchant_00748.jpg,1300,956,merchant,71,279,1163,607
sailing_00602.jpg,651,434,sailing,69,1,610,394
fishing_00861.jpg,500,370,fishing,149,62,382,279
sailing_00736.jpg,674,446,sailing,269,64,459,365
small_00555.jpg,500,373,small,109,122,354,319
merchant_00467.jpg,800,600,merchant,168,248,505,378
small_00328.jpg,450,300,small,36,114,433,246
sailing_00582.jpg,1024,680,sailing,111,218,395,587
warship_00754.jpg,1024,536,warship,53,177,503,427
small_00944.jpg,800,600,small,9,163,783,412
small_00647.jpg,1920,1125,small,103,197,1799,893
tug_00454.jpg,660,370,tug,70,1,589,344
small_00061.jpg,975,600,small,296,257,787,523
fishing_01039.jpg,1000,497,fishing,115,120,486,385
fishing_01039.jpg,1000,497,fishing,524,106,900,304
tug_00316.jpg,318,450,tug,42,12,264,389
fishing_00689.jpg,640,427,fishing,119,1,571,405
sailing_00116.jpg,1250,703,sailing,875,366,922,446
sailing_00116.jpg,1250,703,sailing,631,360,698,450
sailing_00116.jpg,1250,703,sailing,537,345,615,458
sailing_00116.jpg,1250,703,sailing,13,391,72,476
fishing_00654.jpg,1000,563,fishing,339,167,815,357
merchant_00296.jpg,640,302,merchant,112,62,538,263
fishing_00201.jpg,548,308,fishing,11,54,527,241
passenger_00154.jpg,1000,600,passenger,24,64,981,390
warship_00316.jpg,1920,960,warship,382,25,1552,957
sailing_00744.jpg,960,650,sailing,209,79,814,641
fishing_01028.jpg,1200,900,fishing,118,310,1050,572
sailing_00278.jpg,450,337,sailing,36,164,155,313
merchant_00888.jpg,1600,1066,merchant,1,370,1363,814
warship_00647.jpg,800,450,warship,129,61,553,312
merchant_00023.jpg,768,511,merchant,26,144,733,256
tug_00082.jpg,1800,1201,tug,272,357,1350,1001
warship_00524.jpg,620,413,warship,79,26,530,291
merchant_00782.jpg,500,334,merchant,50,89,464,288
passenger_00073.jpg,1200,801,passenger,234,197,1032,523
passenger_00904.jpg,611,344,passenger,37,78,442,258
tug_00856.jpg,600,445,tug,239,71,518,366
tug_00461.jpg,1300,945,tug,398,83,1221,643
fishing_00077.jpg,960,540,fishing,192,80,593,327
sailing_00963.jpg,550,365,sailing,254,65,342,289
merchant_00328.jpg,1024,683,merchant,210,354,961,553
tug_00962.jpg,960,640,tug,241,66,881,445
small_00078.jpg,1000,562,small,21,114,997,464
tug_00888.jpg,960,623,tug,87,87,921,573
warship_00684.jpg,1280,720,warship,253,6,1030,635
fishing_00302.jpg,520,520,fishing,73,232,420,419
sailing_00555.jpg,760,570,sailing,127,95,476,467
tug_00037.jpg,1000,750,tug,7,51,991,665
passenger_00203.jpg,1024,512,passenger,14,164,518,366
tug_00788.jpg,800,450,tug,111,1,683,434
sailing_00492.jpg,1300,956,sailing,632,182,857,677
merchant_00272.jpg,800,533,merchant,51,184,743,424
tug_00407.jpg,1835,1311,tug,72,81,1582,1267
